title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,Mmasters API Pilot (example),0,False,False,63,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:08.856900+00:00,2020-07-30 10:35:08.856895+00:00,Praveen,Digimonk,
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.887191+00:00,2020-07-30 10:35:08.887186+00:00,Praveen,Digimonk,
Bird takes flight-2,As a Bird I want to flap my wings,,0,,Backlog One for P1 (example),0,False,False,45,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.917357+00:00,2020-07-30 10:35:08.917352+00:00,Praveen,Digimonk,
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,Backlog One for P1 (example),0,False,False,55,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.946861+00:00,2020-07-30 10:35:08.946856+00:00,Praveen,Digimonk,
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,Backlog One for P1 (example),0,False,False,50,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:08.977480+00:00,2020-07-30 10:35:08.977475+00:00,Praveen,Digimonk,
Eagle Soars,As an Eagle,,0,,Backlog for P2 (example),0,False,False,40,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:09.007635+00:00,2020-07-30 10:35:09.007631+00:00,Praveen,Digimonk,
Eagle Soars-1,As an Eagle I want to glide,,0,,Backlog for P2 (example),0,False,False,65,None,Pending,in-progress,Praveen,Praveen,Praveen,2020-07-30 10:35:09.038214+00:00,2020-07-31 06:08:12.741395+00:00,Praveen,Digimonk,
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0,,Backlog for P2 (example),0,False,False,80,None,Pending,Pending,Praveen,Praveen,Praveen,2020-07-30 10:35:09.072262+00:00,2020-07-31 06:07:53.883071+00:00,Praveen,Digimonk,
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0,,Backlog for P2 (example),0,False,False,75,None,in-progress,in-progress,Praveen,Praveen,Praveen,2020-07-30 10:35:09.102195+00:00,2020-07-31 06:07:31.865310+00:00,Praveen,Digimonk,
Bird takes flight-4,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives,this is a statement that should receive a high readibility score,49,this is a statement that should receive a high readibility score,Backlog One for P1 (example),49,False,False,50,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:09.938648+00:00,2020-07-30 10:35:09.938642+00:00,Praveen,Digimonk,
test,test data,,0,,Backlog Two for P1 (example),0,True,False,15,None,in-progress,Pending,Praveen,Praveen,Praveen,2020-07-30 11:28:00.909543+00:00,2020-07-30 11:28:00.909538+00:00,Praveen,Digimonk,
